"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name"
"1","oas05012","Parkinson's disease","15/42","150/8268",2.42345260133846e-16,2.03570018512431e-14,1.55611167033312e-14,"101111413/101106318/101117502/443410/101108285/100170667/808260/101122393/101112370/101115434/101104108/101121129/101105616/100147789/100145866",15,NA,"VDAC1","SLC25A6","SDHC","NDUFV1","NDUFS2","NDUFS1","NDUFB10","NDUFA10","CYTB","COX5A","ATP5G3","ATP5G1","ATP5D","ATP5B","ATP5A1"
"1","oas05016","Huntington's disease","16/42","201/8268",7.82244192584426e-16,3.28542560885459e-14,2.51141556566579e-14,"101115974/101111413/101106318/101117502/443410/101108285/100170667/808260/101122393/101112370/101115434/101104108/101121129/101105616/100147789/100145866",16,"VDAC1","SLC25A6","SDHC","NDUFV1","NDUFS2","NDUFS1","NDUFB10","NDUFA10","CYTB","COX5A","ATP5G3","ATP5G1","ATP5D","ATP5B","ATP5A1","AP2B1"
"1","oas00190","Oxidative phosphorylation","14/42","143/8268",3.93287299349805e-15,1.10120443817945e-13,8.41772816152214e-14,"101111413/101106318/101117502/443410/101108285/101114221/100170667/808260/101122393/101112370/101115434/101104108/101121129/101105616",14,NA,NA,"SDHC","NDUFV1","NDUFS2","NDUFS1","NDUFB10","NDUFA10","CYTB","COX5A","ATP6","ATP5G3","ATP5G1","ATP5D","ATP5B","ATP5A1"
"1","oas05010","Alzheimer's disease","13/42","177/8268",1.89579843841275e-12,3.98117672066678e-11,3.04325538797837e-11,"101111413/101106318/101117502/443410/101108285/100170667/808260/101122393/101112370/101115434/101104108/101121129/101105616",13,NA,NA,NA,"SDHC","NDUFV1","NDUFS2","NDUFS1","NDUFB10","NDUFA10","CYTB","COX5A","ATP5G3","ATP5G1","ATP5D","ATP5B","ATP5A1"
"1","oas01200","Carbon metabolism","9/42","125/8268",9.04571066925454e-09,1.51967939243476e-07,1.16165968594637e-07,"101118747/443093/100192316/101104080/443091/101115360/100216440/101105616/101108565",9,NA,NA,NA,NA,NA,NA,NA,"TPI1","SDHC","PGK1","OGDH","MDH2","IDH3B","HADHA","GOT2","GOT1"
"1","oas04932","Non-alcoholic fatty liver disease (NAFLD)","8/42","158/8268",1.01255978628398e-06,1.41758370079757e-05,1.08361661339163e-05,"100170667/808260/101122393/101112370/101115434/101104108/101121129/101105616",8,NA,NA,NA,NA,NA,NA,NA,NA,"SDHC","NDUFV1","NDUFS2","NDUFS1","NDUFB10","NDUFA10","CYTB","COX5A"
"1","oas00020","Citrate cycle (TCA cycle)","4/42","35/8268",2.68716755745972e-05,0.000322460106895166,0.000246492061661719,"101104080/443091/101115360/101105616",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SDHC","OGDH","MDH2","IDH3B"
"1","oas01230","Biosynthesis of amino acids","5/42","75/8268",3.5144849121478e-05,0.000369020915775519,0.000282083657422389,"101118747/443093/101104080/100216440/101108565",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPI1","PGK1","IDH3B","GOT2","GOT1"
"1","oas01210","2-Oxocarboxylic acid metabolism","3/42","18/8268",9.433369184184e-05,0.000880447790523841,0.000673024000275116,"101118747/443093/101104080",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDH3B","GOT2","GOT1"
"1","oas04723","Retrograde endocannabinoid signaling","5/42","146/8268",0.000805764069935442,0.00676841818745771,0.00517385350169073,"101122393/101112370/101115434/101104108/101121129",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFV1","NDUFS2","NDUFS1","NDUFB10","NDUFA10"
"1","oas00270","Cysteine and methionine metabolism","3/42","49/8268",0.00190913745503457,0.0145788678384458,0.0111442473451779,"101118747/443093/443091",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDH2","GOT2","GOT1"
"1","oas00010","Glycolysis / Gluconeogenesis","3/42","68/8268",0.00485750944177308,0.0340025660924115,0.0259919364866805,"101103587/100216440/101108565",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPI1","PGK1","GAPDH"
"1","oas00220","Arginine biosynthesis","2/42","22/8268",0.00545650661893541,0.0352574273838903,0.0269511662959563,"101118747/443093",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOT2","GOT1"
"1","oas00360","Phenylalanine metabolism","2/42","26/8268",0.00757898817164744,0.0454739290298846,0.0347607728173304,"101118747/443093",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOT2","GOT1"
"1","oas01040","Biosynthesis of unsaturated fatty acids","2/42","27/8268",0.00815910290892583,0.0456909762899846,0.0349266861364544,"101119642/100192316",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HADHA","COX3"
"2","oas04060","Cytokine-cytokine receptor interaction","13/102","260/8268",1.67671502229236e-05,0.00256537398410731,0.00224150324032768,"101120186/678671/443111/101113732/101123199/664707/101105858/443435/101111837/443371/443302/100037695/101117284",13,NA,NA,NA,"TNFRSF21","TNFRSF11B","TH","KIT","IL5RA","IL2RA","IL17RB","IL13","CSF2RB","CRLF2","CCR3","CCR10","CCL17"
"2","oas05230","Central carbon metabolism in cancer","6/102","64/8268",0.000127802960250219,0.0074324156401103,0.00649409553693848,"443211/101119209/101107841/101109763/101108592/101110145",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARP6","PFKP","NTRK1","HKDC1","HK3","G6PD"
"2","oas01200","Carbon metabolism","8/102","125/8268",0.000145733640002163,0.0074324156401103,0.00649409553693848,"101112791/443211/101119209/101107841/101108592/101110145/100135441/101106590",8,NA,NA,NA,NA,NA,NA,NA,NA,"TKT","TALDO1","PARP6","PFKP","HKDC1","HK3","G6PD","ACO1"
"2","oas00030","Pentose phosphate pathway","4/102","31/8268",0.000531828456446758,0.0203424384590885,0.0177742668338785,"443211/101108592/100135441/101106590",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TKT","TALDO1","PFKP","G6PD"
"2","oas04664","Fc epsilon RI signaling pathway","5/102","66/8268",0.0012751809442208,0.0390205368931566,0.034094311561272,"443326/100144427/664707/100302082/443203",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MS4A2","MAP2","IL13","FCER1A","ALOX5"
"3","oas04020","Calcium signaling pathway","3/10","187/8268",0.00121517033776838,0.041315791484125,0.0383738001400541,"101120781/101102503/101108103",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TACR2","CACNA1E","BDKRB2"
"5","oas03320","PPAR signaling pathway","2/5","74/8268",0.00077664625535492,0.00698981629819428,0.000817522374057811,"101117273/101109799",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FABP2","APOC3"
"5","oas04977","Vitamin digestion and absorption","1/5","26/8268",0.0156284495739106,0.0445557186083739,0.00521119515887414,"101110433",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUBN"
"5","oas00030","Pentose phosphate pathway","1/5","31/8268",0.0186113915592463,0.0445557186083739,0.00521119515887414,"443440",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALDOB"
"5","oas00051","Fructose and mannose metabolism","1/5","33/8268",0.0198025416037217,0.0445557186083739,0.00521119515887414,"443440",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALDOB"
"5","oas04978","Mineral absorption","1/5","46/8268",0.0275168556508888,0.0474758290960038,0.00555272854924021,"101105882",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S100G"
"5","oas04975","Fat digestion and absorption","1/5","53/8268",0.0316505527306692,0.0474758290960038,0.00555272854924021,"101109799",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FABP2"
