"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name"
"1","oas01200","Carbon metabolism","12/89","125/8268",7.42381713729217e-09,1.15069165628029e-06,1.02370531051082e-06,"101112791/443211/101118747/101104080/443091/101115360/101108592/101110145/100145875/100135441/101106590/101108565",12,"TPI1","TKT","TALDO1","PSPH","PARP6","PFKP","OGDH","MDH2","IDH3B","GOT1","G6PD","ACO1"
"1","oas01230","Biosynthesis of amino acids","9/89","75/8268",9.03865818385275e-08,7.00496009248588e-06,6.23191695834058e-06,"101112791/101118747/101104080/101108592/101110145/100145875/100135441/101106590/101108565",9,NA,NA,NA,"TPI1","TKT","TALDO1","PSPH","PARP6","PFKP","IDH3B","GOT1","ACO1"
"1","oas05016","Huntington's disease","10/89","201/8268",5.51028078739999e-05,0.00284697840682333,0.00253279573034877,"101115974/101117502/101122393/101114253/101104108/101118985/101121129/101103585/101111516/100270719",10,NA,NA,"UQCRH","PPIF","PLCB1","NDUFV1","NDUFS3","NDUFS2","NDUFA8","NDUFA10","ATP5D","AP2B1"
"1","oas05012","Parkinson's disease","8/89","150/8268",0.000198612701602741,0.0076962421871062,0.00684691155525238,"101117502/101122393/101114253/101104108/101118985/101121129/101111516/100270719",8,NA,NA,NA,NA,"UQCRH","PPIF","NDUFV1","NDUFS3","NDUFS2","NDUFA8","NDUFA10","ATP5D"
"1","oas00030","Pentose phosphate pathway","4/89","31/8268",0.000316128686427181,0.00979998927924262,0.00871849640462331,"443211/101108592/100135441/101106590",4,NA,NA,NA,NA,NA,NA,NA,NA,"TKT","TALDO1","PFKP","G6PD"
"1","oas00020","Citrate cycle (TCA cycle)","4/89","35/8268",0.000509081671887956,0.0131512765237722,0.0116999471960214,"101112791/101104080/443091/101115360",4,NA,NA,NA,NA,NA,NA,NA,NA,"OGDH","MDH2","IDH3B","ACO1"
"1","oas05010","Alzheimer's disease","8/89","177/8268",0.000607368056480161,0.013448864107775,0.0119646940449475,"101117502/101122393/101114253/101104108/101118985/101121129/101103585/100270719",8,NA,NA,NA,NA,"UQCRH","PLCB1","NDUFV1","NDUFS3","NDUFS2","NDUFA8","NDUFA10","ATP5D"
"1","oas00190","Oxidative phosphorylation","7/89","143/8268",0.000844186522362606,0.0150745662257202,0.0134109893077714,"101117502/101122393/101114253/101104108/101118985/101121129/100270719",7,NA,NA,NA,NA,NA,"UQCRH","NDUFV1","NDUFS3","NDUFS2","NDUFA8","NDUFA10","ATP5D"
"1","oas01210","2-Oxocarboxylic acid metabolism","3/89","18/8268",0.000875297393751493,0.0150745662257202,0.0134109893077714,"101112791/101118747/101104080",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDH3B","GOT1","ACO1"
"2","oas04630","Jak-STAT signaling pathway","7/52","184/8268",0.000138404727776334,0.0100192957902266,0.00808916062777618,"664707/101108025/443435/101103538/443327/101105948/101108643",7,NA,NA,NA,NA,NA,"PTPN6","OSMR","IL4","IL2RG","IL2RA","IL13RA2","IL13"
