"id"	"oas"
"ND1"	"oas:101105195"
"ND2"	"oas:100147799"
"COX1"	"oas:101119459"
"COX2"	"oas:101117005"
"ATP8"	"oas:101103116"
"ATP6"	"oas:101114221"
"COX3"	"oas:101119642"
"ND3"	"oas:100147798"
"ND4L"	"oas:808256"
"ND4"	"oas:101107240"
"ND5"	"oas:101107646"
"ND6"	"oas:101116722"
"CYTB"	"oas:808260"
"FIBP"	"oas:101110491"
"ACBD3"	"oas:101105589"
"CYP2E1"	"oas:100568285"
"CYP2E1"	"oas:100568285"
"RAB11FIP2"	"oas:101105457"
"IL2"	"oas:100885770"
"LHX1"	"oas:101109722"
"DEFB129"	"oas:101109034"
"PIGS"	"oas:101120255"
"HAO1"	"oas:101118465"
"HAO1"	"oas:101118465"
"AGTRAP"	"oas:101111567"
"CCL22"	"oas:101123141"
"CDYL"	"oas:101119749"
"TIGD5"	"oas:101113248"
"FOSL1"	"oas:101111137"
"TCF24"	"oas:101123309"
"KIT"	"oas:443371"
"CEP131"	"oas:101119062"
"MARCH5"	"oas:101102440"
"BSX"	"oas:101118218"
"ARHGAP28"	"oas:101102444"
"HOXD12"	"oas:101107071"
"GTF3C1"	"oas:101109667"
"AP1M1"	"oas:101116140"
"SHISA5"	"oas:101119513"
"DCLK3"	"oas:101114472"
"PABPC1"	"oas:100135436"
"BCLAF1"	"oas:101111718"
"SULT1C2"	"oas:101116036"
"TOP3A"	"oas:101120422"
"TOP3A"	"oas:101120422"
"MED8"	"oas:101107155"
"VRK1"	"oas:101122310"
"HOXD13"	"oas:101104641"
"SLAIN1"	"oas:101103654"
"SMURF1"	"oas:101106698"
"SHISA4"	"oas:101113425"
"HSPB9"	"oas:101121786"
"FAM204A"	"oas:101105706"
"ADAD1"	"oas:101104272"
"HERC3"	"oas:101118611"
"ARL4D"	"oas:101109813"
"GGT6"	"oas:101102912"
"CX3CL1"	"oas:101119927"
"EVX2"	"oas:101104891"
"DYNLT3"	"oas:443256"
"C11orf68"	"oas:101111405"
"EEF1D"	"oas:443504"
"TEX15"	"oas:101115182"
"GJC1"	"oas:101116241"
"PBX2"	"oas:101122392"
"HMGN4"	"oas:101107313"
"PURG"	"oas:101106306"
"HSPA8"	"oas:101112844"
"FAM167B"	"oas:101115189"
"DEFB127"	"oas:101109293"
"LNPK"	"oas:101107574"
"TREX1"	"oas:101119766"
"CPM"	"oas:101104474"
"PRKCD"	"oas:101110967"
"DRAP1"	"oas:101111673"
"EDNRB"	"oas:443139"
"PRSS22"	"oas:101117723"
"WRN"	"oas:101123507"
"MYADML2"	"oas:101112912"
"CCL17"	"oas:101120186"
"CEP295NL"	"oas:101122872"
"ATP5G3"	"oas:101108285"
"ZNF639"	"oas:101109501"
"GML"	"oas:105605804"
"LRIT2"	"oas:105605093"
"SOCS3"	"oas:100294595"
"AATF"	"oas:101109984"
"SNCAIP"	"oas:101111543"
"CAMK4"	"oas:101108308"
"DPF3"	"oas:101103652"
"DPF3"	"oas:101103652"
"SMIM6"	"oas:105616429"
"API5"	"oas:101108774"
"CADPS2"	"oas:101104231"
"ATF2"	"oas:101108548"
"VPS50"	"oas:101112807"
